DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE
WAUKALOO,"Copper, Gold, Molybdenum",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Ethiudna Calc-silicate Group,140.3971672,-31.8246545
ANABAMA,"Copper, Silver, Gold, Cobalt, Molybdenum, Zinc",Locally Significant,ADELAIDE GEOSYNCLINE,Benda Siltstone,Yudnamutana Subgroup,140.2872821,-32.7869965
NETLEY HILL,"Molybdenum, Copper",Locally Significant,DELAMERIAN OROGEN,Anabama Granite,Anabama Granite,140.0431582,-32.8076485
SPILSBY ISLAND,"Molybdenum, Tungsten",Low Significance,GAWLER CRATON,quartz vein unit 3,Spilsby Suite unit 1,136.3463046,-34.6822164
PERSEVERANCE WINKLERS,"Lead, Silver, Molybdenum, Tungsten",Low Significance,ADELAIDE GEOSYNCLINE,Wilyerpa Formation,Wilyerpa Formation,140.5478031,-32.2863735
WILLOUGHBY,Molybdenum,Low Significance,ADELAIDE GEOSYNCLINE,Encounter Bay Granite,Encounter Bay Granite,138.1344613,-35.8415805
COLEBATCH SOUTH,"Granite, Molybdenum",Low Significance,MURRAY BASIN BASEMENT,Delamerian igneous unit 13,,139.767525,-35.8949345
EAST PAINTER NO.4,"Uranium, Molybdenum",Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),hydrothermal alteration,Corundum Creek Schist Member,139.3840034,-30.2296615
LAKE KITTY,Molybdenum,Low Significance,,Saint Kilda Formation,Encounter Bay Granite,137.0280634,-36.0058194
NORTH PORTIA,"Copper, Gold, Cobalt, Molybdenum",Significant to SA,BENAGERIE RIDGE (CURNAMONA PROVINCE),Portia Formation,Portia Formation,140.4520172,-31.4277585
COLEBATCH NORTH,"Granite, Molybdenum",Low Significance,PADTHAWAY RIDGE (DELAMERIAN OROGEN),Delamerian igneous unit 13,,139.761637,-35.8820875
BLUE ROSE,"Copper, Gold, Molybdenum",Locally Significant,ADELAIDE GEOSYNCLINE,skarn,Neoproterozoic rocks,140.2416631,-32.6403465
KATINKA,"Copper, Gold, Molybdenum",Low Significance,MOONTA SUBDOMAIN (GAWLER CRATON),quartz vein unit 3,Wandearah Formation,137.7550205,-33.6218124
VERTIGO,"Gold, Copper, Molybdenum",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),Wiperaminga Subgroup,Wiperaminga Subgroup,140.5608641,-32.1058975
LAKE CHARLES SOUTH,"Copper, Molybdenum",Low Significance,CURNAMONA PROVINCE,hydrothermal alteration,Willyama Supergroup,140.5642942,-31.2889595
ANABAMA HILL EAST,"Copper, Molybdenum",Low Significance,DELAMERIAN OROGEN,quartz vein,Anabama Granite,140.2407391,-32.7095985
YANTANBIE,Molybdenum,Low Significance,GAWLER CRATON,Hiltaba Granite,Hiltaba Suite,134.621394,-32.5171963
BASSANIO,"Copper, Molybdenum",Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),quartz vein,Willyama Complex,140.4389252,-31.4343365
ANABAMA HILL,"Copper, Molybdenum",Locally Significant,DELAMERIAN OROGEN,Anabama Granite,Anabama Granite,140.2088651,-32.7184215
BARTEL,"Thorium, Silver, Gold, Molybdenum",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Katunga Dolomite,136.4950416,-33.5744734
KALKAROO,"Copper, Gold, Cobalt, Molybdenum",Significant to Australia,BENAGERIE RIDGE (CURNAMONA PROVINCE),Portia Formation,Portia Formation,140.5335512,-31.7259855
BIRKSGATE,"Copper, Graphite, Silver, Gold, Molybdenum, Uranium, Vanadium",Low Significance,CURNAMONA PROVINCE,hydrothermal alteration,Willyama Supergroup,140.3638892,-31.3114915
BIRKSGATE,"Copper, Graphite, Silver, Gold, Molybdenum, Uranium, Vanadium",Low Significance,CURNAMONA PROVINCE,hydrothermal alteration,Willyama Supergroup,140.3638892,-31.3114915
WILLARA,"Copper, Gold, Molybdenum",Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Tapley Hill Formation,139.3125872,-33.3586405
ALFORD WEST,"Copper, Gold, Cobalt, Molybdenum",Locally Significant,MOONTA SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Wandearah Formation,137.7242504,-33.8791614
MOUNT MITCHELL,"Tin, Gold, Molybdenum",Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite,135.088346,-31.0759613
WHITE DAM,"Gold, Copper, Molybdenum",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),Wiperaminga Subgroup,Wiperaminga Subgroup,140.5741941,-32.0926845
NANKIVEL WEST,"Zinc, Molybdenum, Lead",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,,136.0244078,-32.6563864
NO.17 BORE,"Zinc, Silver, Molybdenum, Lead",Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),skarn,Archaean-Palaeoproterozoic rocks,134.664852,-30.3836743
MERINO,"Zinc, Molybdenum, Topaz",Low Significance,GAWLER CRATON,hydrothermal alteration,Hiltaba Granite,135.2852489,-30.5424333
BENDIGO,"Copper, Kaolin, Molybdenum",Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Delamerian igneous unit 6,139.4522452,-33.2033555
